AMR.Gene.Family	AMR1A	AMR1H	AMR2A	AMR3A	AMR3H	AMR4A	AMR5A	AMR5H	AMR6A	AMR7A	AMR7H	AMR9H	AMR10A
PLA beta-lactamase	0.107416153	0.032443932	0.032561411	0.021704472	0.076727128	0.066065272	0.027967738	0.040198138	0.045522799	0.02217947	0.010442562	0.025845282	0.05865246
PLN beta-lactamase	0.015195259	0.0253979	0.010260296	0.022097413	0.020420175	0.014434961	0.005835214	0.01290945	0.02217947	0.007831921	0.043547531	0.017106967	0.037284946
PME beta-lactamase	0.257235145	0.066297296	0.044808643	0.058257558	0.000601457	0.180243264	0.01426834	0.006268111	0.009862419	0.008851124	0.198563015	0.026632104	0.043121681
PNGM beta-lactamase	0.091158782	0.093914004	0.058858152	0.049018723	0.075857776	0.161028408	0.087753557	0.047281598	0.055585059	0.110584325	0.245903095	0.074333565	0.143921436
POM beta-lactamase	0.205628702	0.059458745	0.021351714	0.063538992	0.022421677	0.104147079	0.01015249	0.008851124	0.035435861	0.055039682	0.052978065	0.016931934	0.024072232
PRC beta-lactamase	0.102100876	0.013833505	0.023989211	0.02717779	0.014947034	0.037999321	0.006726854	0.005498668	0.020417946	0.011499115	0.076193701	0.014995817	0.038056655
PST beta-lactamase	0.116983334	0.041494852	0.025139456	0.039055155	0.009282277	0.114356523	0.015885041	0.014203789	0.013963211	0.008465967	0.051301479	0.020255962	0.057656965
PSV beta-lactamase	0.014263855	0.008832782	0.009643248	0.006091494	0.018764383	0.02932623	0.007989631	0.003285461	0.020839303	0.011049549	0.108645613	0.010810681	0.011427678
R39 beta-lactamase	0.262945121	0.070395711	0.042060317	0.078597982	0.046433197	0.274310672	0.057906258	0.073588788	0.067481176	0.093300187	0.255252189	0.038793959	0.1147592
RAHN beta-lactamase	0.589684618	0.117478818	0.072579218	0.262103179	0.15002752	0.278032173	0.149131262	0.041041183	0.158978608	0.121319864	0.223741903	0.183485049	0.169861189
RCP beta-lactamase	0.072517789	0.014515844	0.036657787	0.04438684	0.003696144	0.123733361	0.008287162	0.004910536	0.015014835	0.004510925	0.125132913	0.023101122	0.041948129
ROB beta-lactamase	0.278633386	0.238886581	0.268984252	0.275157394	0.343848498	0.269924705	0.274376208	0.172970895	0.176828278	0.309914676	0.320018481	0.245902825	0.141844795
