""	"AMR.Gene.Family"	"AMR1A"	"AMR1H"	"AMR2A"	"AMR3A"	"AMR3H"	"AMR4A"	"AMR5A"	"AMR5H"	"AMR6A"	"AMR7A"	"AMR7H"	"AMR9H"	"AMR10A"
"52"	"BlaB beta-lactamase"	0.55254591536438	0.123298629280116	0.151715552789232	0.370297392970465	0.188043336756686	0.214362583141645	0.0775358470525757	0.192453383513771	0.25034177866946	0.107188178909802	0.531402224595587	0.114441760982463	0.185986557407237
"53"	"BlaZ beta-lactamase"	0.602058184923886	0.495344796286211	0.275175126886309	0.389587220767699	0.183905111923955	0.424853956452469	0.284097851853662	0.22814835857465	0.229571616898771	0.259840058350048	0.531167621663431	0.254734063775588	0.274471177523393
"54"	"Bleomycin resistant protein"	0.150418838662828	0.0305750140984787	0.0110897352446251	0.0130532019504384	0.0177022481855196	0.0904225420953591	0.0239688937023951	0.00739228820067598	0.0299564979551434	0.0173635775283737	0.0484915446705337	0.0156154280429064	0.0180437018458707
"55"	"CAM beta-lactamase"	0.0849305947179965	0.0265189321067122	0.0104425615603508	0.0148698884758364	0.117915882597326	0.135823730980239	0.0143738937235366	0.0579593112610383	0.0153904437183312	0.0214835957401099	0.0582575584677662	0.0225546273073384	0.0401981379185145
"56"	"CAR beta-lactamase"	0.699135482813321	0.0968837655876987	0.0357585413347495	0.172902563601261	0.00177547360758482	0.362632804510939	0.0253979004402303	0.00315701409606794	0.0270079489304238	0.0444439105836567	0.103751285613757	0.0434399232345237	0.0733800338363489
"57"	"CARB beta-lactamase"	0.657301235993189	0.366082492476545	0.61401793787727	1.04042753404471	1.09323728834441	1.36757925447394	0.419488248015027	0.40634686799865	0.837827773840555	0.290503599718518	1.25197748904277	0.673329754924276	0.417070477678292
"58"	"CAU beta-lactamase"	0.0867410161090458	0.0317700823578289	0.0399481561706585	0.0188914031795053	0.00260491286566464	0.0623510283973418	0.00797962127489795	0.00180178015879689	0.00481165382556552	0.00648357063201847	0.141324509610746	0.0168756840679078	0.0194347673484306
"59"	"CBP beta-lactamase"	0.200395904103228	0.134935994176447	0.0661199111282685	0.139362838313058	0.0607725213493078	0.165116778688273	0.0966955351887665	0.0339823051430565	0.0991986306698825	0.112787829785499	0.194793610383849	0.0438007443225823	0.0718711276332094
"60"	"CDD beta-lactamase"	0.17310867673952	0.0492819213378399	0.0644715934251999	0.04972297201307	0.170027314857441	0.115914523549267	0.0396961440609155	0.0628906351305791	0.132491727760074	0.0568951634289461	0.0585943731997459	0.0520446096654275	0.0959212101957526
"61"	"CGA beta-lactamase"	0.234499809032555	0.217510224282998	0.0698489368755031	0.219746493570267	0.272068803978331	0.105254927434246	0.180243263570113	0.0991989346306199	0.19624009758967	0.0983341213599696	0.111524163568773	0.177179305457123	0.230811568986027
"62"	"CGB beta-lactamase"	0.0234442157909818	0.00434089438209342	0.0104348893594819	0.0156154280429064	0.0138335047485009	0.0363079955393034	0.0101916713661596	0.00385729921552177	0.00551135193462956	0.00743494423791822	0.0342139348468926	0.00532642082275447	0.0106777496231986
"63"	"CIA beta-lactamase"	0.07853072563969	0.0724304084952276	0.050449844446313	0.0544318339017099	0.0894732747218548	0.143362843883978	0.0708778730852126	0.0310376135265981	0.0467339352097716	0.0635401647156578	0.0932123643982032	0.0492819213378399	0.104847742843002
"64"	"CKO beta-lactamase"	0.0374428382899058	0.00720712063518757	0.00210509854868491	0.0188023548328536	0.0326133483717106	0.0207329832834295	0.00957234809698819	0.0042485395645247	0.0274933405019673	0.0159792624682634	0.0114991149788293	0.0143270207611555	0.0146011901943142
"65"	"CMA beta-lactamase"	0.242039134665049	0.021351713850947	0.0194507118960554	0.0577528044082376	0.00241081200970111	0.0794794963204474	0.00354044963710391	0.00183288936679782	0.030183051328942	0.00616024016722999	0.229232332178489	0.00868178876418683	0.0331461191418838
"66"	"CME beta-lactamase"	0.0393954156968177	0.0512202079929459	0.0597911386814695	0.0665384114677506	0.0394496770057695	0.0591255089396353	0.0904225420953591	0.120732205315768	0.0640664977391919	0.0696814191565292	0.0501175987750785	0.0761133106221036	0.124923424343251
"67"	"CMH beta-lactamase"	0.280090251303198	0.0869689289912284	0.0313405561261144	0.0382893923879528	0.0223048327137546	0.14296537061023	0.0497132610123751	0.0131418456900906	0.0436322904998828	0.0118388028602548	0.125218672313783	0.0246243288368908	0.0288699229533931
"68"	"CMY beta-lactamase"	2.73272681564625	0.866445836286578	0.33039104492332	0.702425208001416	1.32212419658349	2.60639525593452	0.50596105906849	0.599781187319284	0.678363403892598	0.702820489212166	1.84742525615308	0.342228878343348	1.00560180502606
"69"	"CPS beta-lactamase"	0.182257387933404	0.0481518116393951	0.0208886528589131	0.091644468339891	0.0514887346199599	0.121972755311154	0.0507958008804605	0.0142065634323057	0.0546297148819937	0.0108106809527813	0.0890155957729621	0.0479784226769366	0.0332927931294546
"70"	"CRD3 beta-lactamase"	0.145905790690456	0.0233669676048858	0.0274933405019673	0.101201995632335	0.00164273071126133	0.161504597671208	0.00907641552619532	0.00306908510572998	0.027627295768219	0.00962330765113104	0.0609455639409736	0.0163066741858553	0.0356800177435764
"71"	"CRH beta-lactamase"	0.127810231899451	0.0641511278379237	0.0816717859489019	0.0386041717146412	0.052749485529709	0.0899749017379363	0.0509468127551177	0.0192189883605002	0.0249604542201211	0.0265826395912757	0.133171172517818	0.034715692939696	0.0353886808434109
"72"	"CRP beta-lactamase"	0.24682910139544	0.0630293130692612	0.01848072050169	0.0345150954700565	0.000394626762008492	0.108031795721695	0.00360356031759378	0	0.00778028475842216	0.00679444757743972	0.0462875905862613	0.004641138471267	0.00885112409275978
"73"	"CSA beta-lactamase"	0.830033911545905	0.0669412764838992	0.0664252780744484	0.0864232608798598	0.00859343829604395	0.289486012180034	0.00721748073834828	0.00778028475842216	0.0319339036139667	0.0231437952931306	0.132852588740018	0.0127456186935741	0.0867567633617635
"74"	"CSP beta-lactamase"	0.617256064756445	0.799057021542629	0.707171157519218	1.1343338550778	3.26062149403611	0.656189290461498	1.30838455354133	0.875804292731979	2.03713614819744	0.520097579936358	0.531067445565587	1.30685011852685	0.823819753919358
"75"	"CTX-M beta-lactamase"	2.86670660866394	0.650344903789995	0.664150016879968	1.00959748231252	0.488984320023096	1.80178427863793	0.781361471405567	0.292672577977714	0.438877656689186	0.422375641706497	1.62210708961607	1.11588516236706	0.506371741746305
"76"	"CVI beta-lactamase"	0.107733106028318	0.0540158978608477	0.0426421304248598	0.0288699229533931	0.00778028475842216	0.182091195075384	0.00819676083298377	0.0023205692356335	0.00991325898389095	0.0109973362007869	0.24679083145429	0.0114991149788293	0.0332126390372242
"77"	"CblA beta-lactamase"	0.200718165914741	0.0564557783089693	0.0330801200507629	0.0797479187738271	0.048920022557566	0.084860582741479	0.0304574712176897	0.0240750575323066	0.0702607590605831	0.127834099746107	0.18562857037253	0.0573080830446222	0.0623510283973418
"78"	"CepA beta-lactamase"	0.242639728051315	0.0312757498661759	0.0966052024170751	0.111428940270011	0.0617167874483484	0.100654690595603	0.0329261816250664	0.0433783816808817	0.181098307973652	0.0427109984927946	0.200578290656178	0.0315701409606794	0.0933001872141914
"79"	"CepS beta-lactamase"	0.00270655527688061	0	0	0.000482162401940222	0	0.00354044963710391	0	0.000887736803792412	0.00451750945596866	0	0	0.000613817021145996	0.00300296693132815
"80"	"CfiA beta-lactamase"	2.02806089369538	1.76247970158786	1.98940207040535	1.57363601291397	3.46822446450699	2.86908282216085	3.90337872627523	1.4624410157004	4.63544244445023	1.48537513219997	2.18703004634318	2.62939784507093	1.26726932630832
"81"	"CfxA beta-lactamase"	0.447754095353277	0.0901643691628214	0.0498922385661203	0.100194724730041	0.122803587575454	0.420787244997603	0.0628344497057459	0.0644715934251999	0.0726113242095626	0.0767271276432496	0.164562587836783	0.0378917738763285	0.127726341450764
"82"	"CphA beta-lactamase"	0.381872622336655	0.104135544449053	0.0747034873428925	0.202228793470026	0.1988530440495	0.289120605181994	0.106150199275834	0.0398573029628577	0.133198293588681	0.10450324921022	0.144048886402868	0.115407557249929	0.146760067672698
"83"	"DES beta-lactamase"	0.209721444670378	0.155071694105151	0.169236784867665	0.585906290502992	0.162630340414872	0.450649925759983	0.268346198165775	0.151612804223061	0.395190448162785	0.224042631252895	0.560180502606395	0.413102412708335	0.274350406703986
"84"	"DHA beta-lactamase"	0.664542396884404	0.648231872724162	0.560161923193012	0.51294266459135	0.755424731042747	0.521301952613218	0.632845348801522	0.393989261390254	0.348544173989402	0.709950984206022	1.0198465813737	0.501931060419771	0.24801083705833
"85"	"DHT2 beta-lactamase"	0.301204819277108	0.0843349963602791	0.0439430465262406	0.125687045768319	0.0307808874366624	0.243071540373815	0.0738729865106725	0.0243589974919254	0.106330558365103	0.0862894842334844	0.206847670432355	0.0333581827622316	0.0584174190122145
"86"	"DIM beta-lactamase"	0.27253519876427	0.0554421615050699	0.0169319336268202	0.0690596833514862	0.00491053616916797	0.130328764819642	0.00360874036917414	0.00324178531600923	0.0190244532168312	0.00530378642134244	0.041770246241403	0.0106213489113117	0.0299371929910311
"87"	"EAM beta-lactamase"	0.329367507607897	0.134804240798145	0.0157850704803397	0.107417978700549	0.00300296693132815	0.117885518726355	0.0116704271376332	0.00339722378871986	0.017357846469848	0.00812199232471725	0.101964949548593	0.0219946724015738	0.0550396818351295
"88"	"EBR beta-lactamase"	0.123733361119071	0.0445928241069596	0.0448086425436577	0.0582575584677662	0.0195473436663599	0.10892398661791	0.0380489064336624	0.0149470344601469	0.0174042692672513	0.00920516905647017	0.122192624453188	0.0284075777213572	0.0201234512129513
"89"	"EC beta-lactamase"	0.322804691322947	0.112328514869717	0.0498492510600473	0.0399968724250134	0.0414948520449182	0.307788475258019	0.0385729921552177	0.0130532019504384	0.0290316870242521	0.0439893448031477	0.328462617403192	0.0439430465262406	0.0866133527833494
"90"	"ECM beta-lactamase"	0.115397599975447	0.0462456907424535	0.0153371465689901	0.0376047096657071	0.0523172463462858	0.0453232657823808	0.0130532019504384	0.0138077535847053	0.0281043036242332	0.0399481561706585	0.0960997466087878	0.0293052697387272	0.0149958169563227
"91"	"ECV beta-lactamase"	0.430625457952457	0.0787908313936354	0.080396275837029	0.0978400451151319	0.0954681555841639	0.107036255993595	0.0495662949194548	0.0384906767027542	0.138486941391616	0.0443537292040559	0.235093386126234	0.0469605846790106	0.0988245404045054
"92"	"EFM beta-lactamase"	0.46462532253117	0.598433569335304	0.245279557545574	0.4363569737559	0.210301586979286	0.58806868472296	0.241941396417312	0.532642082275447	1.38523267227112	0.498189585558363	0.502359868036811	1.23193076144001	0.342938823557675
"93"	"ELM beta-lactamase"	0.269716538291968	0.115505608816475	0.0289297441164133	0.0501823097205745	0.024429102496017	0.121581661330922	0.144701099018163	0.0213554992463973	0.0827059834848524	0.0315701409606794	0.127673940398367	0.0696688328068131	0.027065552768806
